airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,12:00:00,1170,1.0,No info,13044
Indigo,2019-06-03,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No info,3540
Spicejet,2019-05-06,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No info,3971
Air India,2019-05-24,Kolkata,Banglore,16:50:00,13:45:00,1255,2.0,No info,12802
Spicejet,2019-05-18,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Air India,2019-03-01,Banglore,New Delhi,05:50:00,12:15:00,1825,3.0,No info,12346
Vistara,2019-05-24,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No info,9870
Indigo,2019-05-09,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No info,7191
Jet Airways,2019-06-15,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No info,8016
Air India,2019-06-12,Delhi,Cochin,20:30:00,23:00:00,1590,1.0,No info,8907
Jet Airways,2019-05-15,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No info,7229
Spicejet,2019-04-03,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,3873
Air India,2019-03-15,Banglore,New Delhi,11:50:00,08:55:00,1265,1.0,No info,5932
Jet Airways,2019-03-06,Banglore,New Delhi,16:55:00,05:05:00,730,1.0,No info,16736
Jet Airways,2019-04-12,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,5198
Jet Airways,2019-04-24,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No info,7229
Multiple Carriers,2019-03-27,Delhi,Cochin,09:45:00,21:20:00,695,2.0,No info,6653
Spicejet,2019-04-15,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No info,5583
Jet Airways,2019-05-27,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,In-flight meal not included,4050
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,No info,10976
Air India,2019-03-24,Mumbai,Hyderabad,19:30:00,20:45:00,75,0.0,No info,2575
Multiple Carriers,2019-06-01,Delhi,Cochin,13:15:00,22:30:00,555,1.0,No info,9646
Multiple Carriers,2019-03-27,Delhi,Cochin,06:00:00,21:00:00,900,1.0,No info,8055
Indigo,2019-03-21,Delhi,Cochin,07:35:00,22:20:00,885,1.0,No info,6558
Multiple Carriers,2019-06-24,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No info,13587
Air India,2019-06-15,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No info,4145
Jet Airways,2019-06-15,Mumbai,Hyderabad,02:55:00,04:20:00,85,0.0,No info,5678
Air India,2019-06-24,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No info,9548
Air India,2019-05-01,Kolkata,Banglore,05:50:00,16:15:00,2065,2.0,No info,10991
Jet Airways,2019-05-21,Delhi,Cochin,19:45:00,04:25:00,520,1.0,In-flight meal not included,12898
Indigo,2019-06-21,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No info,4077
Jet Airways,2019-03-21,Banglore,New Delhi,14:05:00,10:25:00,1220,1.0,In-flight meal not included,7832
Spicejet,2019-05-09,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-06-09,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,No info,14924
Air India,2019-06-06,Kolkata,Banglore,08:20:00,20:25:00,725,2.0,No info,11432
Jet Airways,2019-06-27,Delhi,Cochin,21:50:00,04:25:00,395,1.0,No info,16079
Spicejet,2019-06-09,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No check-in baggage included,3543
Indigo,2019-03-21,Banglore,New Delhi,20:00:00,22:55:00,175,0.0,No info,6144
Indigo,2019-05-21,Banglore,Delhi,21:15:00,00:15:00,180,0.0,No info,3943
Jet Airways,2019-05-18,Kolkata,Banglore,21:10:00,09:20:00,730,1.0,In-flight meal not included,9663
Indigo,2019-03-03,Delhi,Cochin,11:30:00,21:00:00,570,1.0,No info,14871
Indigo,2019-05-15,Delhi,Cochin,11:55:00,22:30:00,635,1.0,No info,6442
Air India,2019-03-06,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No info,12677
Air India,2019-03-06,Delhi,Cochin,07:05:00,19:15:00,2170,2.0,No info,11552
Air India,2019-06-12,Kolkata,Banglore,05:50:00,13:15:00,445,2.0,No info,7662
Multiple Carriers,2019-03-27,Delhi,Cochin,10:00:00,18:50:00,530,1.0,No info,11667
Air India,2019-03-24,Banglore,New Delhi,10:00:00,12:45:00,165,0.0,No info,7276
Indigo,2019-05-24,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No info,3419
Jet Airways,2019-05-12,Kolkata,Banglore,06:30:00,08:15:00,1545,1.0,No info,13941
Spicejet,2019-05-12,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No check-in baggage included,3257
Multiple Carriers,2019-06-12,Delhi,Cochin,04:55:00,19:15:00,860,1.0,No info,7155
Multiple Carriers,2019-05-27,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No info,10486
Indigo,2019-03-01,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No info,7900
Multiple Carriers,2019-06-15,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No info,7408
Jet Airways,2019-03-21,Delhi,Cochin,02:15:00,04:25:00,1570,1.0,No info,12719
Vistara,2019-03-06,Mumbai,Hyderabad,14:40:00,09:25:00,1125,1.0,No info,12395
Indigo,2019-03-24,Chennai,Kolkata,13:20:00,15:35:00,135,0.0,No info,4752
Vistara,2019-03-15,Banglore,New Delhi,09:50:00,12:35:00,165,0.0,No info,6138
Multiple Carriers,2019-05-15,Delhi,Cochin,18:00:00,01:30:00,450,1.0,No info,8073
Multiple Carriers,2019-03-09,Delhi,Cochin,18:15:00,01:35:00,440,1.0,In-flight meal not included,14086
Spicejet,2019-06-03,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No check-in baggage included,3257
Air India,2019-05-12,Kolkata,Banglore,20:30:00,16:15:00,1185,1.0,No info,10203
Jet Airways,2019-04-12,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No info,7229
Indigo,2019-04-09,Delhi,Cochin,06:40:00,21:00:00,860,1.0,No info,6093
Air India,2019-03-03,Delhi,Cochin,09:45:00,09:25:00,1420,2.0,No info,12760
Air India,2019-06-09,Kolkata,Banglore,05:50:00,12:30:00,1840,2.0,No info,12723
Multiple Carriers,2019-03-03,Delhi,Cochin,10:45:00,18:50:00,485,1.0,No info,15135
Indigo,2019-06-01,Delhi,Cochin,06:50:00,22:30:00,940,1.0,No info,6442
Indigo,2019-03-18,Kolkata,Banglore,15:20:00,17:55:00,155,0.0,No info,4462
Jet Airways,2019-06-27,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No info,8016
Air India,2019-03-03,Delhi,Cochin,05:55:00,07:40:00,1545,2.0,No info,15113
Indigo,2019-06-27,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No info,4823
Air India,2019-03-06,Delhi,Cochin,17:15:00,09:25:00,970,2.0,No info,9417
Jet Airways,2019-06-06,Kolkata,Banglore,08:25:00,04:40:00,1215,1.0,In-flight meal not included,8586
Jet Airways,2019-03-01,Banglore,New Delhi,05:45:00,16:10:00,625,1.0,No info,26890
Air India,2019-04-09,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No info,4441
Spicejet,2019-06-18,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No info,2017
Goair,2019-03-03,Banglore,New Delhi,11:40:00,14:35:00,175,0.0,No info,7646
Jet Airways,2019-05-09,Kolkata,Banglore,14:05:00,18:15:00,1690,1.0,In-flight meal not included,7757
Vistara,2019-03-12,Mumbai,Hyderabad,07:30:00,19:55:00,745,1.0,No info,12080
Indigo,2019-03-03,Delhi,Cochin,18:35:00,01:35:00,420,1.0,No info,14871
Jet Airways,2019-06-27,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,In-flight meal not included,11150
Multiple Carriers,2019-05-27,Delhi,Cochin,06:40:00,19:00:00,740,1.0,No info,9315
Jet Airways,2019-05-21,Delhi,Cochin,14:00:00,19:00:00,300,1.0,In-flight meal not included,12898
Indigo,2019-05-15,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No info,4804
Jet Airways,2019-05-01,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,4030
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,11733
Spicejet,2019-05-15,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Indigo,2019-05-15,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No info,4049
Vistara,2019-05-03,Banglore,Delhi,21:00:00,23:50:00,170,0.0,No info,5613
Jet Airways,2019-05-18,Kolkata,Banglore,20:00:00,08:15:00,735,1.0,No info,13941
Jet Airways,2019-06-15,Delhi,Cochin,19:30:00,12:35:00,1025,2.0,No info,13014
Jet Airways,2019-03-27,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,No info,12452
Indigo,2019-03-01,Mumbai,Hyderabad,02:30:00,04:00:00,90,0.0,No info,16000
Spicejet,2019-06-27,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Jet Airways,2019-05-03,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,6144
Air India,2019-05-15,Kolkata,Banglore,09:25:00,21:50:00,745,1.0,No info,8366
Air India,2019-06-06,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No info,9653
Jet Airways,2019-06-12,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,No info,12576
Jet Airways,2019-06-09,Delhi,Cochin,06:45:00,04:25:00,1300,2.0,No info,13376
Jet Airways,2019-04-18,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No info,7229
Vistara,2019-05-18,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No info,4878
Multiple Carriers,2019-05-09,Delhi,Cochin,15:00:00,01:30:00,630,1.0,No info,15078
Jet Airways,2019-06-27,Delhi,Cochin,19:45:00,19:00:00,1395,1.0,In-flight meal not included,10262
Vistara,2019-03-12,Mumbai,Hyderabad,08:45:00,16:45:00,480,1.0,No info,12080
Indigo,2019-05-09,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No info,4804
Jet Airways,2019-05-09,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,In-flight meal not included,12373
Air India,2019-06-24,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No info,6961
Jet Airways,2019-06-06,Delhi,Cochin,13:00:00,19:00:00,360,1.0,In-flight meal not included,10262
Air India,2019-03-06,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No info,15809
Vistara,2019-03-18,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No info,4842
Goair,2019-04-15,Delhi,Cochin,10:35:00,19:35:00,540,1.0,No info,5752
Indigo,2019-04-01,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No info,3175
Air India,2019-05-21,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No info,10151
Indigo,2019-03-09,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No info,8033
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,07:40:00,615,1.0,No info,16736
Jet Airways,2019-06-12,Kolkata,Banglore,16:30:00,22:35:00,365,1.0,In-flight meal not included,9899
Air India,2019-06-12,Banglore,Delhi,10:00:00,12:45:00,165,0.0,No info,6961
Jet Airways,2019-06-03,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,6478
Jet Airways,2019-06-12,Kolkata,Banglore,17:00:00,18:00:00,1500,1.0,No info,12692
Indigo,2019-05-06,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No info,4804
Jet Airways,2019-06-12,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No info,14714
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,In-flight meal not included,10844
Vistara,2019-05-06,Kolkata,Banglore,07:10:00,18:50:00,700,1.0,No info,8610
Indigo,2019-03-27,Chennai,Kolkata,05:15:00,07:35:00,140,0.0,No info,4326
Jet Airways,2019-05-27,Delhi,Cochin,19:10:00,19:00:00,1430,2.0,No info,15129
Air Asia,2019-04-27,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No info,4409
Air India,2019-03-24,Kolkata,Banglore,16:50:00,18:30:00,1540,1.0,No info,14641
Jet Airways,2019-03-06,Banglore,New Delhi,07:00:00,21:20:00,860,1.0,No info,16736
Indigo,2019-06-24,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No info,9165
Jet Airways,2019-06-06,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,10262
Jet Airways,2019-06-18,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4995
Indigo,2019-03-21,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No info,8784
Indigo,2019-03-09,Banglore,New Delhi,01:30:00,04:15:00,165,0.0,No info,6860
Vistara,2019-03-24,Kolkata,Banglore,07:10:00,20:25:00,795,1.0,No info,13152
Vistara,2019-03-09,Delhi,Cochin,14:55:00,17:50:00,175,0.0,No info,6741
Jet Airways,2019-05-12,Kolkata,Banglore,20:00:00,10:05:00,845,1.0,No info,13941
Air India,2019-05-21,Delhi,Cochin,18:05:00,21:10:00,185,0.0,No info,6094
Indigo,2019-05-27,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No info,4823
Jet Airways,2019-05-21,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No info,7229
Air India,2019-05-24,Kolkata,Banglore,09:50:00,23:15:00,805,2.0,No info,15170
Spicejet,2019-06-03,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No check-in baggage included,3841
Jet Airways,2019-06-06,Delhi,Cochin,16:00:00,04:25:00,745,1.0,No info,14714
Indigo,2019-06-09,Banglore,Delhi,10:10:00,13:00:00,170,0.0,No info,4423
Spicejet,2019-05-24,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No info,3971
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,14:25:00,1080,1.0,No info,12692
Air Asia,2019-05-24,Kolkata,Banglore,06:50:00,10:30:00,220,1.0,No info,5162
Air Asia,2019-03-27,Delhi,Cochin,07:55:00,13:10:00,315,1.0,No info,6151
Spicejet,2019-03-24,Kolkata,Banglore,15:55:00,21:15:00,320,1.0,No info,10654
Multiple Carriers,2019-06-24,Delhi,Cochin,13:00:00,01:30:00,750,1.0,No info,13377
Jet Airways,2019-06-18,Delhi,Cochin,09:50:00,13:05:00,195,0.0,In-flight meal not included,4466
Air India,2019-04-18,Delhi,Cochin,14:10:00,17:10:00,180,0.0,No info,6094
Jet Airways,2019-05-12,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,No info,14151
Indigo,2019-03-15,Mumbai,Hyderabad,02:30:00,04:00:00,90,0.0,No info,3342
Jet Airways,2019-05-24,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No info,14151
Multiple Carriers,2019-05-21,Delhi,Cochin,07:00:00,19:00:00,720,1.0,No info,10197
Multiple Carriers,2019-05-18,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No info,9211
Jet Airways,2019-06-09,Delhi,Cochin,09:25:00,04:25:00,1140,2.0,No info,13882
Multiple Carriers,2019-06-24,Delhi,Cochin,06:40:00,19:00:00,740,1.0,No info,10877
Air India,2019-06-03,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No info,8603
Indigo,2019-03-21,Banglore,New Delhi,07:10:00,10:05:00,175,0.0,No info,6860
Indigo,2019-03-24,Banglore,New Delhi,00:40:00,03:25:00,165,0.0,No info,4238
Indigo,2019-04-06,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No info,4174
Jet Airways,2019-06-27,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,6478
Goair,2019-03-24,Kolkata,Banglore,22:25:00,07:40:00,555,1.0,No info,10091
Air India,2019-06-15,Delhi,Cochin,20:15:00,19:15:00,1380,2.0,No info,13591
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,20:20:00,375,1.0,No info,19225
Air India,2019-03-03,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No info,6092
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,12:00:00,1025,1.0,In-flight meal not included,11134
Jet Airways,2019-05-06,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,No info,13584
Spicejet,2019-03-27,Kolkata,Banglore,09:00:00,11:30:00,150,0.0,No info,3847
Vistara,2019-04-27,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No info,6216
Jet Airways,2019-03-01,Banglore,New Delhi,14:05:00,09:00:00,1135,1.0,No info,20800
Air Asia,2019-04-24,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No info,3383
Air India,2019-05-18,Kolkata,Banglore,16:50:00,05:35:00,765,2.0,No info,11642
Air India,2019-05-15,Delhi,Cochin,05:15:00,06:50:00,1535,1.0,No info,8425
Multiple Carriers,2019-04-09,Delhi,Cochin,17:30:00,01:30:00,480,1.0,No info,13017
Jet Airways,2019-05-24,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,No info,14571
Air India,2019-03-03,Banglore,New Delhi,12:00:00,23:55:00,715,3.0,No info,10573
Vistara,2019-06-03,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No info,4668
Jet Airways,2019-06-09,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,In-flight meal not included,10262
Multiple Carriers,2019-06-15,Delhi,Cochin,14:00:00,21:00:00,420,1.0,No info,13587
Multiple Carriers,2019-03-01,Delhi,Cochin,00:20:00,15:30:00,910,1.0,No info,23170
Spicejet,2019-04-01,Kolkata,Banglore,15:55:00,21:25:00,330,1.0,No info,7646
Air India,2019-03-03,Delhi,Cochin,21:30:00,19:15:00,1305,2.0,No info,12287
Jet Airways,2019-06-12,Delhi,Cochin,20:55:00,12:35:00,940,1.0,In-flight meal not included,10262
Indigo,2019-05-03,Mumbai,Hyderabad,02:35:00,04:05:00,90,0.0,No info,2754
Indigo,2019-06-03,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No info,3850
Jet Airways,2019-03-21,Banglore,New Delhi,16:55:00,10:25:00,1050,1.0,In-flight meal not included,7832
Indigo,2019-06-03,Delhi,Cochin,05:10:00,10:05:00,295,1.0,No info,6842
Jet Airways,2019-06-06,Delhi,Cochin,09:40:00,04:25:00,1125,2.0,No info,13014
Indigo,2019-06-09,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No info,6206
Air India,2019-03-15,Banglore,New Delhi,05:50:00,12:55:00,425,1.0,No info,9029
Multiple Carriers,2019-05-21,Delhi,Cochin,07:05:00,18:10:00,665,1.0,No info,9646
Indigo,2019-06-15,Delhi,Cochin,07:15:00,12:30:00,315,1.0,No info,6582
Indigo,2019-03-01,Banglore,New Delhi,20:00:00,22:55:00,175,0.0,No info,14306
Indigo,2019-06-06,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No info,4804
Goair,2019-03-15,Banglore,New Delhi,11:40:00,14:35:00,175,0.0,No info,6113
Air India,2019-05-06,Kolkata,Banglore,09:25:00,15:05:00,1780,2.0,No info,11542
Indigo,2019-06-01,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No info,6064
Jet Airways,2019-04-01,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,No info,12681
Jet Airways,2019-06-01,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No info,8016
Vistara,2019-06-09,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No info,9555
Air Asia,2019-06-03,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No info,7120
Air India,2019-04-01,Kolkata,Banglore,09:25:00,10:30:00,1505,2.0,No info,12009
Jet Airways,2019-06-15,Delhi,Cochin,18:15:00,19:00:00,1485,1.0,In-flight meal not included,10262
Jet Airways,2019-06-01,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,In-flight meal not included,10919
Multiple Carriers,2019-03-27,Delhi,Cochin,08:00:00,15:30:00,450,1.0,No info,6673
Indigo,2019-04-03,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No info,4174
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,19:10:00,575,1.0,No info,12692
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,In-flight meal not included,12384
Air India,2019-06-09,Kolkata,Banglore,12:00:00,18:30:00,1830,2.0,No info,10151
Spicejet,2019-06-09,Delhi,Cochin,17:55:00,22:50:00,295,1.0,No info,5409
