airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-04-06,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No info,4174
Vistara,2019-04-27,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No info,5613
Air Asia,2019-03-03,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No info,7074
Indigo,2019-06-03,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No info,11378
Indigo,2019-03-21,Delhi,Cochin,09:10:00,21:00:00,710,1.0,No info,8285
Air India,2019-03-21,Delhi,Cochin,09:45:00,23:00:00,795,1.0,No info,5704
Multiple Carriers,2019-06-15,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No info,8614
Indigo,2019-05-12,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No info,3597
Jet Airways,2019-03-15,Banglore,New Delhi,11:40:00,08:15:00,1235,1.0,In-flight meal not included,9134
Jet Airways,2019-06-09,Kolkata,Banglore,20:25:00,22:05:00,1540,1.0,In-flight meal not included,10539
Jet Airways,2019-05-18,Delhi,Cochin,05:30:00,04:25:00,1375,2.0,No info,15129
Jet Airways,2019-03-09,Banglore,New Delhi,19:55:00,22:35:00,160,0.0,No info,7229
Air India,2019-05-18,Kolkata,Banglore,16:50:00,05:35:00,765,2.0,No info,11642
Indigo,2019-05-09,Banglore,Delhi,04:00:00,06:50:00,170,0.0,No info,3943
Jet Airways,2019-03-27,Delhi,Cochin,05:10:00,04:25:00,1395,2.0,In-flight meal not included,9412
Vistara,2019-04-01,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No info,8452
Indigo,2019-05-21,Chennai,Kolkata,13:15:00,15:35:00,140,0.0,No info,3597
Jet Airways,2019-03-21,Banglore,New Delhi,07:00:00,19:10:00,730,1.0,In-flight meal not included,7832
Multiple Carriers,2019-06-03,Delhi,Cochin,03:50:00,19:00:00,910,1.0,No info,12192
Multiple Carriers,2019-05-18,Delhi,Cochin,10:35:00,19:15:00,520,1.0,No info,8309
Indigo,2019-03-24,Kolkata,Banglore,11:55:00,16:25:00,270,1.0,No info,9806
Jet Airways,2019-06-06,Delhi,Cochin,14:00:00,19:00:00,300,1.0,No info,14714
Jet Airways,2019-03-09,Delhi,Cochin,20:50:00,18:50:00,1320,1.0,No info,16289
Jet Airways,2019-04-01,Banglore,Delhi,18:55:00,22:00:00,185,0.0,No info,7229
Vistara,2019-06-18,Chennai,Kolkata,07:05:00,09:20:00,135,0.0,No info,3687
Air India,2019-05-24,Kolkata,Banglore,09:25:00,11:10:00,1545,1.0,No info,8891
Goair,2019-04-18,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No info,5048
Indigo,2019-03-03,Kolkata,Banglore,15:10:00,17:45:00,155,0.0,No info,6985
Air Asia,2019-05-27,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No info,3807
Indigo,2019-05-27,Delhi,Cochin,16:00:00,21:00:00,300,1.0,No info,5054
Indigo,2019-05-18,Kolkata,Banglore,08:10:00,13:00:00,290,1.0,No info,5279
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,18:15:00,1545,1.0,In-flight meal not included,10844
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,05:05:00,375,1.0,No info,54826
Multiple Carriers,2019-03-27,Delhi,Cochin,09:55:00,21:00:00,665,1.0,No info,12537
Jet Airways,2019-06-01,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4050
Indigo,2019-04-01,Banglore,Delhi,16:55:00,19:55:00,180,0.0,No info,4823
Multiple Carriers,2019-05-18,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No info,7564
Air India,2019-06-06,Banglore,Delhi,06:10:00,08:55:00,165,0.0,No info,6961
Indigo,2019-04-18,Delhi,Cochin,14:20:00,17:35:00,195,0.0,No info,6015
Multiple Carriers,2019-03-27,Delhi,Cochin,04:00:00,13:20:00,560,1.0,No info,6305
Multiple Carriers,2019-05-18,Delhi,Cochin,11:40:00,19:00:00,440,1.0,No info,10529
Air Asia,2019-03-18,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No info,4384
Multiple Carriers,2019-06-03,Delhi,Cochin,07:05:00,22:30:00,925,1.0,No info,10696
Indigo,2019-03-01,Kolkata,Banglore,15:20:00,17:55:00,155,0.0,No info,6565
Multiple Carriers,2019-03-06,Delhi,Cochin,13:05:00,21:20:00,495,2.0,No info,10759
Goair,2019-06-09,Delhi,Cochin,07:00:00,12:55:00,355,1.0,No info,5897
Multiple Carriers,2019-06-27,Delhi,Cochin,08:00:00,21:00:00,780,1.0,No info,7408
Jet Airways,2019-04-27,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No info,7229
Spicejet,2019-06-15,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No info,3597
Jet Airways,2019-06-09,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,No info,14571
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,20:45:00,1550,1.0,No info,14571
Spicejet,2019-06-06,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No info,2017
Air India,2019-05-12,Kolkata,Banglore,09:25:00,13:45:00,1700,2.0,No info,12592
Vistara,2019-05-01,Kolkata,Banglore,07:10:00,20:20:00,790,1.0,No info,8610
Jet Airways,2019-05-12,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,5198
Air India,2019-06-27,Delhi,Cochin,17:40:00,23:00:00,320,1.0,No info,7174
Indigo,2019-03-21,Banglore,New Delhi,19:35:00,00:35:00,300,1.0,No info,6575
Jet Airways,2019-05-18,Delhi,Cochin,09:00:00,12:35:00,1655,1.0,In-flight meal not included,12373
Jet Airways,2019-06-06,Delhi,Cochin,21:25:00,19:00:00,1295,2.0,In-flight meal not included,10588
Jet Airways,2019-06-09,Kolkata,Banglore,17:00:00,10:55:00,1075,1.0,No info,14151
Air India,2019-04-21,Delhi,Cochin,06:10:00,23:00:00,1010,1.0,No info,7174
Air Asia,2019-03-27,Kolkata,Banglore,22:50:00,01:20:00,150,0.0,No info,3782
Indigo,2019-05-27,Delhi,Cochin,05:05:00,16:10:00,665,1.0,No info,6600
Jet Airways,2019-03-03,Delhi,Cochin,21:50:00,18:50:00,1260,1.0,No info,17024
Goair,2019-06-18,Banglore,Delhi,07:45:00,10:40:00,175,0.0,No info,3419
Indigo,2019-03-18,Kolkata,Banglore,22:10:00,00:55:00,165,0.0,No info,4148
Spicejet,2019-03-06,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,7298
Indigo,2019-05-12,Kolkata,Banglore,04:40:00,07:15:00,155,0.0,No info,4804
Jet Airways,2019-03-24,Kolkata,Banglore,18:55:00,18:10:00,1395,1.0,No info,14231
Air India,2019-04-03,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No info,5117
Jet Airways,2019-05-18,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12373
Jet Airways,2019-05-09,Banglore,Delhi,19:50:00,22:50:00,180,0.0,No info,7229
Air India,2019-05-27,Delhi,Cochin,16:40:00,19:15:00,1595,2.0,No info,9968
Indigo,2019-03-27,Mumbai,Hyderabad,21:20:00,22:45:00,85,0.0,No info,2227
Spicejet,2019-06-03,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-06-12,Delhi,Cochin,12:15:00,12:35:00,1460,2.0,No info,14300
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,12:35:00,1615,2.0,In-flight meal not included,10368
Vistara,2019-06-09,Banglore,Delhi,11:30:00,14:20:00,170,0.0,No info,4668
Air Asia,2019-03-24,Kolkata,Banglore,19:35:00,22:05:00,150,0.0,No info,5964
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,22:35:00,850,1.0,No info,14781
Indigo,2019-05-27,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No info,5224
Air India,2019-03-09,Delhi,Cochin,06:05:00,09:25:00,1640,1.0,No info,10945
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,04:25:00,450,1.0,In-flight meal not included,12898
Indigo,2019-06-03,Banglore,Delhi,01:30:00,04:15:00,165,0.0,No info,3943
Air India,2019-05-21,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No info,11972
Jet Airways,2019-05-21,Delhi,Cochin,09:00:00,19:00:00,600,1.0,No info,16079
Spicejet,2019-05-03,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No info,3873
Jet Airways,2019-05-21,Kolkata,Banglore,20:25:00,19:10:00,1365,1.0,No info,13067
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,18:15:00,590,1.0,No info,14781
Spicejet,2019-04-01,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Air India,2019-05-15,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,No info,9941
Jet Airways,2019-03-18,Banglore,New Delhi,16:55:00,23:00:00,365,1.0,No info,13555
Jet Airways,2019-06-21,Delhi,Cochin,11:00:00,14:15:00,195,0.0,No info,9564
Spicejet,2019-03-12,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,6300
Air Asia,2019-03-24,Banglore,New Delhi,23:25:00,02:10:00,165,0.0,No info,3383
Spicejet,2019-05-01,Kolkata,Banglore,09:00:00,11:25:00,145,0.0,No check-in baggage included,3841
Spicejet,2019-06-18,Kolkata,Banglore,06:55:00,09:30:00,155,0.0,No info,3873
Indigo,2019-06-06,Banglore,Delhi,13:00:00,15:50:00,170,0.0,No info,3943
Jet Airways,2019-05-09,Delhi,Cochin,23:05:00,12:35:00,810,2.0,No info,15129
Jet Airways,2019-05-18,Delhi,Cochin,11:40:00,19:00:00,440,2.0,In-flight meal not included,19644
Jet Airways,2019-03-27,Delhi,Cochin,05:10:00,04:25:00,1395,2.0,In-flight meal not included,9412
Jet Airways,2019-05-27,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No info,15129
Jet Airways,2019-05-24,Kolkata,Banglore,06:30:00,18:15:00,705,1.0,In-flight meal not included,10844
Indigo,2019-05-09,Delhi,Cochin,11:25:00,21:00:00,575,1.0,No info,6979
Indigo,2019-03-15,Mumbai,Hyderabad,20:05:00,21:35:00,90,0.0,No info,2754
Jet Airways,2019-03-01,Banglore,New Delhi,22:50:00,05:05:00,375,1.0,No info,26890
Multiple Carriers,2019-05-21,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No info,9794
Multiple Carriers,2019-06-03,Delhi,Cochin,09:15:00,19:15:00,600,1.0,No info,8099
Air India,2019-03-06,Mumbai,Hyderabad,06:10:00,21:15:00,905,1.0,No info,16666
Air Asia,2019-04-15,Kolkata,Banglore,10:20:00,12:55:00,155,0.0,No info,4409
Multiple Carriers,2019-05-09,Delhi,Cochin,10:35:00,19:00:00,505,1.0,No info,9103
Spicejet,2019-06-06,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No info,3311
Air India,2019-05-09,Kolkata,Banglore,09:25:00,05:25:00,1200,2.0,No info,14687
Multiple Carriers,2019-03-03,Delhi,Cochin,04:00:00,11:30:00,450,1.0,No info,14973
Jet Airways,2019-03-06,Delhi,Cochin,09:00:00,04:25:00,1165,1.0,No info,15764
Air India,2019-03-09,Delhi,Cochin,16:55:00,19:15:00,1580,2.0,No info,22096
Vistara,2019-05-01,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No info,4668
Air India,2019-03-24,Kolkata,Banglore,07:00:00,08:55:00,1555,1.0,No info,12173
Air India,2019-06-09,Mumbai,Hyderabad,15:00:00,16:25:00,85,0.0,No info,3100
Jet Airways,2019-03-06,Delhi,Cochin,08:00:00,04:25:00,1225,1.0,In-flight meal not included,13843
Indigo,2019-06-27,Delhi,Cochin,23:30:00,04:35:00,305,1.0,No info,9165
Indigo,2019-05-15,Delhi,Cochin,07:15:00,12:30:00,315,1.0,No info,5636
Jet Airways,2019-06-15,Delhi,Cochin,09:40:00,19:00:00,560,2.0,No info,13014
Spicejet,2019-06-09,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-06-18,Mumbai,Hyderabad,19:35:00,21:05:00,90,0.0,No info,5678
Air India,2019-06-06,Kolkata,Banglore,05:50:00,23:15:00,1045,2.0,No info,12723
Air India,2019-05-18,Delhi,Cochin,03:50:00,19:15:00,925,1.0,No info,8879
Jet Airways,2019-03-15,Banglore,New Delhi,05:45:00,13:15:00,450,1.0,In-flight meal not included,9134
Jet Airways,2019-04-01,Kolkata,Banglore,08:25:00,16:20:00,475,1.0,In-flight meal not included,7851
Jet Airways,2019-03-24,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No info,5678
Indigo,2019-06-18,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No info,4804
Jet Airways,2019-03-03,Delhi,Cochin,19:15:00,04:25:00,550,1.0,No info,17234
Spicejet,2019-05-18,Delhi,Cochin,06:05:00,11:20:00,315,1.0,No info,6297
Indigo,2019-05-18,Banglore,Delhi,18:25:00,21:20:00,175,0.0,No info,4823
Indigo,2019-05-06,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No info,2754
Jet Airways,2019-06-06,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,In-flight meal not included,10539
Jet Airways,2019-03-21,Delhi,Cochin,19:10:00,18:50:00,1420,2.0,In-flight meal not included,8834
Jet Airways,2019-05-06,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No info,7229
Vistara,2019-03-09,Banglore,New Delhi,11:30:00,14:10:00,160,0.0,No info,7240
Indigo,2019-03-24,Banglore,New Delhi,04:00:00,06:50:00,170,0.0,No info,4777
Multiple Carriers,2019-03-09,Delhi,Cochin,02:15:00,12:55:00,640,1.0,In-flight meal not included,18260
Jet Airways,2019-03-09,Delhi,Cochin,17:25:00,18:50:00,1525,1.0,No info,16289
Indigo,2019-03-03,Kolkata,Banglore,20:25:00,23:05:00,160,0.0,No info,6038
Indigo,2019-03-03,Delhi,Cochin,15:00:00,01:35:00,635,1.0,No info,14871
Air Asia,2019-04-21,Banglore,Delhi,11:10:00,13:55:00,165,0.0,No info,4483
Indigo,2019-04-06,Kolkata,Banglore,17:15:00,19:50:00,155,0.0,No info,4174
Vistara,2019-06-06,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No info,9345
Indigo,2019-05-03,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No info,4804
Air India,2019-06-06,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No info,3100
Indigo,2019-03-03,Banglore,New Delhi,06:00:00,08:45:00,165,0.0,No info,6144
Air India,2019-03-21,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,No info,11071
Jet Airways,2019-06-09,Delhi,Cochin,05:30:00,12:35:00,425,2.0,No info,14441
Air India,2019-05-12,Kolkata,Banglore,09:25:00,18:30:00,545,1.0,No info,8576
Air India,2019-05-15,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No info,11281
Spicejet,2019-06-24,Kolkata,Banglore,17:10:00,19:40:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-06-21,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,In-flight meal not included,4995
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,18:15:00,750,1.0,No info,14781
Indigo,2019-04-21,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No info,4591
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,08:15:00,1090,1.0,In-flight meal not included,13502
Jet Airways,2019-06-27,Delhi,Cochin,09:40:00,19:00:00,560,2.0,In-flight meal not included,10368
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,12:00:00,960,1.0,In-flight meal not included,9663
Indigo,2019-06-01,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No info,6386
Multiple Carriers,2019-06-06,Delhi,Cochin,06:40:00,19:15:00,755,1.0,No info,7354
Indigo,2019-05-01,Chennai,Kolkata,05:15:00,07:40:00,145,0.0,No info,3850
Multiple Carriers,2019-03-21,Delhi,Cochin,08:25:00,19:15:00,650,1.0,No info,8601
Jet Airways,2019-04-01,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No info,7229
Spicejet,2019-04-15,Banglore,Delhi,05:55:00,08:35:00,160,0.0,No info,4423
Jet Airways,2019-05-01,Kolkata,Banglore,08:25:00,20:45:00,740,1.0,No info,14781
Jet Airways,2019-04-09,Delhi,Cochin,23:05:00,19:00:00,1195,2.0,No info,9483
Jet Airways,2019-05-27,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,3359
Jet Airways,2019-03-27,Delhi,Cochin,13:00:00,04:25:00,925,1.0,In-flight meal not included,6960
Jet Airways,2019-06-06,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No info,14714
Jet Airways,2019-04-06,Banglore,Delhi,18:55:00,22:00:00,185,0.0,In-flight meal not included,4544
Indigo,2019-05-12,Kolkata,Banglore,15:15:00,17:45:00,150,0.0,No info,4804
Jet Airways,2019-03-12,Banglore,New Delhi,21:25:00,12:25:00,900,1.0,No info,13817
Jet Airways,2019-05-15,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,In-flight meal not included,10844
Jet Airways,2019-05-24,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,No info,13731
Air India,2019-03-06,Delhi,Cochin,06:10:00,08:15:00,1565,1.0,No info,11038
Vistara,2019-05-06,Kolkata,Banglore,07:10:00,22:40:00,930,1.0,No info,8452
Multiple Carriers,2019-06-27,Delhi,Cochin,09:45:00,22:30:00,765,1.0,No info,9646
Jet Airways,2019-05-18,Kolkata,Banglore,16:30:00,04:40:00,730,1.0,No info,13941
Jet Airways,2019-05-06,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,In-flight meal not included,9663
Jet Airways,2019-03-27,Delhi,Cochin,07:05:00,04:25:00,1280,1.0,In-flight meal not included,6645
Indigo,2019-03-01,Banglore,New Delhi,13:00:00,15:50:00,170,0.0,No info,19685
Indigo,2019-06-09,Delhi,Cochin,10:35:00,21:00:00,625,1.0,No info,6314
Multiple Carriers,2019-06-24,Delhi,Cochin,08:45:00,19:15:00,630,1.0,No info,9001
Jet Airways,2019-05-15,Kolkata,Banglore,20:25:00,18:00:00,1295,1.0,No info,14151
Jet Airways,2019-05-12,Banglore,Delhi,15:15:00,18:10:00,175,0.0,No info,7229
Jet Airways,2019-06-27,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,6478
Spicejet,2019-05-18,Kolkata,Banglore,14:55:00,17:25:00,150,0.0,No info,4174
Spicejet,2019-06-12,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No info,3873
Indigo,2019-06-03,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No info,4591
Indigo,2019-05-27,Kolkata,Banglore,21:25:00,00:05:00,160,0.0,No info,4804
Spicejet,2019-05-18,Chennai,Kolkata,17:45:00,20:05:00,140,0.0,No info,3597
Air India,2019-06-12,Banglore,Delhi,13:20:00,16:10:00,170,0.0,No info,6961
Jet Airways,2019-03-18,Banglore,New Delhi,22:50:00,10:25:00,695,1.0,In-flight meal not included,11087
Jet Airways,2019-03-01,Banglore,New Delhi,08:55:00,21:20:00,745,1.0,1 Long layover,27992
Air India,2019-05-18,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No info,4880
Air India,2019-03-03,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No info,4937
Indigo,2019-04-24,Kolkata,Banglore,09:35:00,12:20:00,165,0.0,No info,4804
Jet Airways,2019-05-06,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,No info,13067
Air India,2019-03-01,Banglore,New Delhi,11:05:00,09:15:00,1330,1.0,No info,13439
Spicejet,2019-03-18,Mumbai,Hyderabad,05:45:00,07:05:00,80,0.0,No check-in baggage included,2385
Indigo,2019-05-06,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No info,7191
Air India,2019-05-18,Kolkata,Banglore,09:25:00,13:45:00,1700,2.0,No info,13222
Indigo,2019-06-12,Kolkata,Banglore,14:25:00,16:55:00,150,0.0,No info,4804
Jet Airways,2019-05-18,Kolkata,Banglore,18:55:00,18:15:00,1400,1.0,In-flight meal not included,10844
Jet Airways,2019-05-27,Delhi,Cochin,20:55:00,19:00:00,1325,1.0,In-flight meal not included,12898
Air India,2019-03-09,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No info,11622
Multiple Carriers,2019-06-01,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No info,9646
Indigo,2019-05-03,Banglore,Delhi,06:05:00,08:50:00,165,0.0,No info,3943
Air India,2019-03-21,Delhi,Cochin,12:20:00,19:15:00,1855,2.0,No info,10703
Air India,2019-06-12,Kolkata,Banglore,12:00:00,07:55:00,1195,2.0,No info,9416
Air India,2019-03-15,Banglore,New Delhi,08:50:00,23:15:00,865,1.0,No info,8714
